"res";"dat";"var";"ver";"access_date";"archive_name";"access_url";"default_var";"default_res";"default_ver";"dat_name";"type";"var_name";"licence";"url";"citation";"public";"comment";"API"
"none";"som";"heim-body";"2019-12-11_v2";20191211;"som_heim-body_2019-12-11_v2.zip";"som/heim-body";FALSE;TRUE;TRUE;"Supplementary Online Material to Scientific Publications";"data.frame";"Body size, sampling completeness, and extinction risk in the marine fossil record";"CC0 1.0";"https://datadryad.org/stash/dataset/doi:10.5061/dryad.zpc866t5b";"Payne, J. L., & Heim, N. A. (undefined/ed). Body size, sampling completeness, and extinction risk in the marine fossil record. Paleobiology, 1–18. https://doi.org/10.1017/pab.2019.43
";1;"";""
"none";"som";"kiessling-coralgenera";"0.53";20200917;"som_kiessling-coralgenera_0.53.zip";"som/kiessling-coralgenera";FALSE;TRUE;FALSE;"Supplementary Online Material to Scientific Publications";"data.frame";"Traits of coral genera";"CC0 1.0";"https://datadryad.org/stash/dataset/doi:10.5061/dryad.mv32t";"Kiessling, W., & Kocsis, Á. T. (2015). Biodiversity dynamics and environmental occupancy of fossil azooxanthellate and zooxanthellate scleractinian corals. Paleobiology, 41(3), 402–414.";1;"As used in the paper. Table S1 includes only valid genera.";""
"none";"som";"kiessling-coralgenera";"0.54";20200917;"som_kiessling-coralgenera_0.54.zip";"som/kiessling-coralgenera";FALSE;TRUE;TRUE;"Supplementary Online Material to Scientific Publications";"data.frame";"Traits of coral genera";"CC-BY";"";"Kiessling, W., & Kocsis, Á. T. (2015). Biodiversity dynamics and environmental occupancy of fossil azooxanthellate and zooxanthellate scleractinian corals. Paleobiology, 41(3), 402–414.";1;"";""
"none";"som";"veizer-isotope";"2015-onelist";20150101;"som_veizer-isotope_2015-onelist.zip";"som/veizer-isotope";FALSE;TRUE;TRUE;"Supplementary Online Material to Scientific Publications";"data.frame";"dO18 and dC13 Stable isotope data";"not specified";"";"Veizer, J., & Prokoph, A. (2015). Temperatures and oxygen isotopic composition of Phanerozoic oceans. Earth-Science Reviews, 146, 92-104. https://doi.org/10.1016/j.earscirev.2015.03.008 ";1;"";""
"none";"som";"zaffos-fragment";"zaffos_et_al_2017";20170317;"som_zaffos-fragment_zaffos_et_al_2017.zip";"som/zaffos-fragment";FALSE;TRUE;TRUE;"Supplementary Online Material to Scientific Publications";"data.frame";"Continent Fragmentation index of Zaffos et al. 2017";"not specified";"https://github.com/UW-Macrostrat/PNAS_201702297";"Zaffos, A., Finnegan, S., & Peters, S. E. (2017). Plate tectonic regulation of global marine animal diversity. Proceedings of the National Academy of Sciences, 114(22), 5653–5658. https://doi.org/10.1073/pnas.1702297114";1;"downloaded from: https://www.earthbyte.org/webdav/ftp/earthbyte/Scotese_PaleoAtlas_v3.zip";""
